2024-12-27 01:28:03, 2024-12-27 01:28:03, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads\Yazlm_Gelistirme_Denemeleri\Odev3.pdf, 1416483 bytes
2024-12-27 01:28:03, 2024-12-27 01:28:03, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads\Yazlm_Gelistirme_Denemeleri\YAZILIM_GELISTIRME_I_-_PROJE_II.pdf, 83660 bytes
2024-12-27 01:28:03, 2024-12-27 01:28:03, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads\Yazlm_Gelistirme_Denemeleri\YAZILIM_GELISTIRME_I_-_PROJE_II.pdf, 83660 bytes
2024-12-27 01:28:03, 2024-12-27 01:28:03, BACKUP, COMPLETED, uploads, 2 files
2024-12-27 01:28:03, 2024-12-27 01:28:03, BACKUP, COMPLETED, uploads, 2 files
2024-12-27 01:29:03, 2024-12-27 01:29:03, BACKUP, STARTED, uploads, 0
2024-12-27 01:29:03, 2024-12-27 01:29:03, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads\Yazlm_Gelistirme_Denemeleri\Odev3.pdf, 1416483 bytes
2024-12-27 01:29:03, 2024-12-27 01:29:03, BACKUP, STARTED, uploads, 0
2024-12-27 01:29:03, 2024-12-27 01:29:03, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads\Yazlm_Gelistirme_Denemeleri\Odev3.pdf, 1416483 bytes
2024-12-27 01:29:03, 2024-12-27 01:29:03, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads\Yazlm_Gelistirme_Denemeleri\YAZILIM_GELISTIRME_I_-_PROJE_II.pdf, 83660 bytes
2024-12-27 01:29:03, 2024-12-27 01:29:03, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads\Yazlm_Gelistirme_Denemeleri\YAZILIM_GELISTIRME_I_-_PROJE_II.pdf, 83660 bytes
2024-12-27 01:29:03, 2024-12-27 01:29:03, BACKUP, COMPLETED, uploads, 2 files
2024-12-27 01:29:03, 2024-12-27 01:29:03, BACKUP, COMPLETED, uploads, 2 files
